tensor,n,seed,method,result,reference_float64,absolute_error,relative_error
encoder.blocks.0.attn.query.weight,262144,42,float64_reference,10.920446874162868,10.920446874162868,0.0,0.0
encoder.blocks.0.attn.query.weight,262144,42,float32_left_to_right,10.920353889465332,10.920446874162868,9.298469753638017e-05,8.514733747423511e-06
encoder.blocks.0.attn.query.weight,262144,42,float32_right_to_left,10.92038631439209,10.920446874162868,6.055977077856767e-05,5.545539617233843e-06
encoder.blocks.0.attn.query.weight,262144,42,float32_pairwise,10.920450210571289,10.920446874162868,3.3364084206510825e-06,3.055194040222683e-07
encoder.blocks.0.attn.query.weight,262144,42,float32_small_to_large,10.920442581176758,10.920446874162868,4.2929861105989175e-06,3.93114508963536e-07
encoder.blocks.0.attn.query.weight,262144,42,float32_large_to_small,10.920364379882812,10.920446874162868,8.249428005591142e-05,7.55411211706803e-06
