format,tensors_compared,n,mae,median_abs_error,max_abs_error,rmse,relative_error_mean,relative_error_median,relative_error_max,relative_threshold,bound_valid_weights,bound_pass_count,bound_pass_percent,bound_ratio_mean,bound_ratio_median,bound_ratio_max
F16,99,71504384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0,0,nan,nan,nan,nan
Q8_0,99,71504384,0.00011818786572665216,0.00010395050048828125,0.0038299560546875,0.00015100798558341695,0.029994341922972526,0.006382221318144833,1.0,1e-08,70595072,70126030,99.33558818383244,0.4856120086592275,0.4834123222748815,1.302325581395349
Q5_1,99,71504384,0.0007226811988958412,0.000637054443359375,0.01617431640625,0.0009283025905141498,0.5013400489148623,0.03986351531291611,57855.0,1e-08,70595072,70422433,99.7554517686447,0.46913633724243653,0.46672914714151825,1.0282926829268293
Q4_0,99,71504384,0.0018697546757584478,0.00164794921875,0.05706787109375,0.002396734913780876,0.24784707859406677,0.10303030303030303,1.0,1e-08,70595072,70387925,99.70657016965717,0.48484769771749914,0.48223350253807107,2.0
